Generating SQLite file /home/aihimekpen/research_summer_2026/research/results/step1_profiling_unifolm_vla0/nsight_systems_20260805_140403/unifolm_vla0_nsys.sqlite from /home/aihimekpen/research_summer_2026/research/results/step1_profiling_unifolm_vla0/nsight_systems_20260805_140403/unifolm_vla0_nsys.nsys-rep
Processing [/home/aihimekpen/research_summer_2026/research/results/step1_profiling_unifolm_vla0/nsight_systems_20260805_140403/unifolm_vla0_nsys.sqlite] with [/opt/nvidia/nsight-systems/2023.1.2/host-linux-x64/reports/cuda_gpu_trace.py]... 

 ** CUDA GPU Trace (cuda_gpu_trace):

  Start (ns)    Duration (ns)  CorrId  GrdX  GrdY  GrdZ  BlkX  BlkY  BlkZ  Reg/Trd  StcSMem (MB)  DymSMem (MB)  Bytes (MB)  Throughput (MBps)  SrcMemKd  DstMemKd           Device           Ctx  Strm         Name       
 9,172,282,271          2,144   2,526  None  None  None  None  None  None  None     None          None               0.008          3,582.083  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 9,172,684,575      1,525,057   2,541  None  None  None  None  None  None  None     None          None               9.830          6,438.912  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 9,174,443,680          1,600   2,556  None  None  None  None  None  None  None     None          None               0.003          1,600.000  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 9,175,011,712      1,349,601   2,575  None  None  None  None  None  None  None     None          None               8.755          6,478.848  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 9,176,607,041          2,048   2,590  None  None  None  None  None  None  None     None          None               0.007          3,339.842  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 9,177,008,033      1,359,297   2,605  None  None  None  None  None  None  None     None          None               8.755          6,435.072  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 9,178,608,386          2,048   2,620  None  None  None  None  None  None  None     None          None               0.007          3,339.842  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 9,179,177,730      1,291,745   2,639  None  None  None  None  None  None  None     None          None               8.755          6,776.525  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 9,180,716,290          1,569   2,654  None  None  None  None  None  None  None     None          None               0.003          1,631.611  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 9,180,942,755          1,568   2,669  None  None  None  None  None  None  None     None          None               0.003          1,632.653  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 9,181,161,731          1,568   2,684  None  None  None  None  None  None  None     None          None               0.003          1,632.653  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 9,181,543,971        433,856   2,699  None  None  None  None  None  None  None     None          None               3.277          7,549.747  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 9,182,217,603          2,112   2,714  None  None  None  None  None  None  None     None          None               0.008          3,636.357  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 9,182,605,827      1,449,601   2,729  None  None  None  None  None  None  None     None          None               9.830          6,773.146  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 9,184,298,340          1,568   2,744  None  None  None  None  None  None  None     None          None               0.003          1,632.653  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
